IP,GUID,Fairshots
31.205.23.68,2eaa2,"[(u'2eaa2', u'Asben', u'51.255.200.51:20104', u'1499815105', u'A%2As+ben'), (u'2eaa2', u'Lubi', u'79.137.85.74:20105', u'1495047030', u'%3DLubi%3D'), (u'2eaa2', u'AsBen', u'51.254.35.64:20109', u'1489957779', u'A%2As+Ben'), (u'2eaa2', u'Asben', u'128.199.50.188:20100', u'1489794749', u'A%2As+ben'), (u'2eaa2', u'AsBen', u'51.254.35.64:20102', u'1488579314', u'A%2As+Ben'), (u'2eaa2', u'asBen', u'149.202.63.22:20102', u'1484779326', u'a%2As+Ben')]"
170.51.88.53,,
197.133.74.243,,
156.204.180.17,,
80.57.88.240,635a2,"[(u'635a2', u'zymesrednuht', u'213.163.78.139:20100', u'1499547247', u'zymes.rednuht'), (u'635a2', u'zymeschris', u'213.163.78.139:20100', u'1495723642', u'zymes.chris'), (u'635a2', u'zymeschris', u'213.163.78.139:20100', u'1495723478', u'zymes.chris'), (u'635a2', u'zymesroelof', u'51.254.35.64:20102', u'1495207255', u'zymes.roelof')]"
77.169.185.161,,
109.240.73.33,ea920,"[(u'ea920', u'NsSJaFFa', u'78.47.64.168:20101', u'1498864199', u'%60NsS+%2F%23%2F+JaFFa'), (u'ea920', u'NsSJaFFa', u'78.47.64.168:20101', u'1498863742', u'%60NsS+%2F%23%2F+JaFFa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1497348700', u'1fx.+%23+Jaffa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1495545595', u'1fx.+%23+Jaffa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1495545227', u'1fx.+%23+Jaffa'), (u'ea920', u'fStJFA', u'51.254.35.64:20111', u'1491332802', u'%7EfSt%7E+JFA%2A')]"
197.164.178.139,,
156.205.252.176,,
179.51.58.57,,
156.205.163.161,,
2.101.118.110,,
156.205.173.188,,
156.202.24.217,,
196.135.255.164,3a907,"[(u'3a907', u'WBGManZoO', u'78.47.64.168:20101', u'1498553984', u'%7CWBG%7C+ManZoO%2A'), (u'3a907', u'SOF2GCode', u'195.154.111.165:20101', u'1441038113', u'%5BSOF2%5D+G.Code%2A')]"
84.105.233.51,80905,"[(u'80905', u'l00natic1fx', u'79.137.85.74:20105', u'1496004846', u'l00natic+%23+1fx.'), (u'80905', u'l00natic1fx', u'79.137.85.74:20105', u'1495486757', u'l00natic+%23+1fx.'), (u'80905', u'l00natic1fx', u'213.168.123.117:20100', u'1432747243', u'l00natic+%23+1fx.'), (u'80905', u'l00natic1fx', u'213.168.123.117:20100', u'1432747010', u'l00natic+%23+1fx.'), (u'80905', u'haxoranalrapeyall', u'185.34.216.28:20120', u'1424363408', u'haxor+%23+analrapeyall'), (u'80905', u'l00natic1fx', u'188.165.252.147:20380', u'1418847170', u'l00natic+%23+1fx.')]"
109.64.41.157,,
156.205.74.124,,
156.204.187.191,,
139.216.67.169,fritz,"[(u'fritz', u'oGoFritzaMeX', u'185.61.138.136:20100', u'1499713346', u'-%3DoGo%2AFritz+-aMeX-'), (u'fritz', u'oGoFritzaMeX', u'185.61.138.136:20100', u'1499711965', u'-%3DoGo%2AFritz+-aMeX-'), (u'fritz', u'FritzaMeX', u'51.255.200.51:20117', u'1499611688', u'Fritz+-aMeX-'), (u'fritz', u'FritzaMeX', u'51.255.200.51:20104', u'1499187531', u'%5B%2B%5D+Fritz+-aMeX-'), (u'fritz', u'FritzaMeX', u'51.255.200.51:20104', u'1499186208', u'%5B%2B%5D+Fritz+-aMeX-'), (u'fritz', u'FritzaMeX', u'51.255.200.51:20104', u'1498496782', u'%5B%2B%5D+Fritz+-aMeX-')]"
41.45.236.244,,
41.68.34.35,,
156.205.160.128,,
156.198.223.61,,
156.204.234.127,,
41.237.43.169,,
86.88.34.32,92407,"[(u'92407', u'K1CKeHmeD', u'79.137.85.74:20102', u'1496661698', u'-K1CK-+eHmeD%60'), (u'92407', u'K1CKeHmeD', u'79.137.85.74:20102', u'1496661501', u'-K1CK-+eHmeD%60'), (u'92407', u'africanluCky', u'79.137.85.74:20105', u'1489876948', u'africanluCky'), (u'92407', u'GsluCky', u'86.82.78.129:20109', u'1468254287', u'.Gs%01luCky%60'), (u'92407', u'GsluCky', u'86.82.78.129:20109', u'1468253894', u'.Gs%01luCky%60'), (u'92407', u'Elturko', u'185.16.84.7:20102', u'1450824684', u'%5B%2B%5D+Elturko%2A')]"
83.179.229.119,5c811,"[(u'5c811', u'SoDbECkenbAUr2', u'51.254.35.64:20111', u'1499797806', u'%7E%2ASoD%23bECkenbAUr2%2A'), (u'5c811', u'SoDbECkenbAUr2', u'51.254.35.64:20111', u'1499797541', u'%7E%2ASoD%23bECkenbAUr2%2A'), (u'5c811', u'sodbeck2', u'51.254.35.64:20111', u'1499795618', u'sod+%23+beck2'), (u'5c811', u'sodbeck2', u'51.254.35.64:20111', u'1499795071', u'sod+%23+beck2'), (u'5c811', u'K1CKsyfyzil', u'79.137.85.74:20105', u'1491513075', u'-K1CK-+syfyzil%60'), (u'5c811', u'oldherosyfz', u'89.36.221.87:20100', u'1485357757', u'oldherosyfz')]"
80.79.228.165,,
156.204.39.154,,
156.221.77.109,,
41.47.83.12,,
190.213.46.137,162ca,"[(u'162ca', u'Cr4sh', u'51.255.200.51:20117', u'1499576117', u'%5B%2B%5D+Cr4sh%60'), (u'162ca', u'Cr4sh', u'51.255.200.51:20104', u'1499188679', u'%5B%2B%5D+Cr4sh%60'), (u'162ca', u'Cr4sh', u'79.137.85.74:20105', u'1499159459', u'%5B%2B%5D+Cr4sh%60'), (u'162ca', u'Ambot', u'51.254.35.64:20109', u'1498438106', u'%5B%2B%5DA%7Cmbot%60'), (u'162ca', u'Ambot', u'51.254.35.64:20109', u'1498404083', u'%5B%2B%5DA%7Cmbot%60'), (u'162ca', u'Ambot', u'51.254.35.64:20109', u'1498319433', u'%5B%2B%5DA%7Cmbot%60')]"
156.205.39.156,,
156.199.74.218,,
156.199.33.113,f42c1,"[(u'f42c1', u'eLmOr', u'51.254.35.64:20109', u'1499469522', u'eLmOr'), (u'f42c1', u'Omg', u'31.204.136.28:20100', u'1497271513', u'Omg%21%21%21'), (u'f42c1', u'Omg', u'213.163.78.139:20100', u'1496864049', u'Omg%21%21%21'), (u'f42c1', u'Omg', u'78.47.64.168:20102', u'1496762645', u'Omg%21%21%21'), (u'f42c1', u'Omg', u'78.47.64.168:20102', u'1496762324', u'Omg%21%21%21'), (u'f42c1', u'Omg', u'78.47.64.168:20102', u'1496761372', u'Omg%21%21%21')]"
41.232.248.225,,
109.16.58.123,1ab93,"[(u'1ab93', u'Ash', u'51.255.200.51:20104', u'1499815112', u'A%2Ash'), (u'1ab93', u'WBGflatearth', u'185.61.138.136:20102', u'1499798143', u'-%7CWBG%7C-+flatearth'), (u'1ab93', u'cGoflatearth', u'78.47.64.168:20101', u'1499694750', u'-%3DcGo%2Aflatearth'), (u'1ab93', u'cGoflatearth', u'78.47.64.168:20101', u'1499694169', u'-%3DcGo%2Aflatearth'), (u'1ab93', u'cGoflatearth', u'78.47.64.168:20101', u'1499693884', u'-%3DcGo%2Aflatearth'), (u'1ab93', u'Ashashin', u'79.137.85.74:20105', u'1491326954', u'A%2Ashashin')]"
177.228.85.204,,
141.226.165.140,002c3,[]
156.204.183.133,,
156.205.30.64,,
176.46.25.115,e3cae,"[(u'e3cae', u'yOlO', u'79.137.85.74:20100', u'1499685137', u'%24yOlO%24'), (u'e3cae', u'cLgyOlO', u'185.34.216.28:20100', u'1456831658', u'-%2FcLg+---+yOlO'), (u'e3cae', u'yOlO', u'213.163.68.175:20100', u'1454170121', u'%28%2B%29+yOlO'), (u'e3cae', u'ultiIPorche', u'213.163.68.175:20100', u'1420390256', u'ulti+I+Por%24che'), (u'e3cae', u'ultiIPorche', u'213.163.68.175:20100', u'1420389990', u'ulti+I+Por%24che'), (u'e3cae', u'Olympu', u'37.187.43.5:20100', u'1419165531', u'Olympu%24')]"
