IP,GUID,Fairshots
31.41.177.218,1f44e,"[(u'1f44e', u'oIVIKamL', u'51.254.35.64:20111', u'1499798785', u'oIVI+Ka+%7E+m%2A%01%2A+%7EL'), (u'1f44e', u'oMKamil', u'79.137.85.74:20109', u'1492980960', u'---oM%01Kamil---'), (u'1f44e', u'oMKamil', u'37.59.160.132:20102', u'1492796199', u'---oM%01Kamil---'), (u'1f44e', u'oMKamil', u'31.204.136.28:20100', u'1491675960', u'oM.Kamil')]"
156.205.180.29,,
94.69.8.187,7fa52,[]
80.212.240.112,ee4e0,"[(u'ee4e0', u'SoDcombatL', u'213.163.78.139:20100', u'1495384336', u'%7E%2ASoD%23combat%2AL'), (u'ee4e0', u'SoDcombatL', u'213.163.78.139:20100', u'1495127763', u'%7E%2ASoD%23combat%2AL'), (u'ee4e0', u'SoDcombatL', u'37.59.160.132:20100', u'1493739679', u'%7E%2ASoD%23combat%2AL')]"
89.185.244.25,,
77.165.82.187,7eaaa,"[(u'7eaaa', u'Hellblazer', u'51.254.35.64:20109', u'1491134245', u'%5B%2B%5D+Hellblazer%60'), (u'7eaaa', u'Hellblazer', u'51.254.35.64:20109', u'1491133778', u'%5B%2B%5D+Hellblazer%60'), (u'7eaaa', u'Hellblazer', u'52.56.120.240:20100', u'1486243229', u'%5B%2B%5D+H+e+l+l+b+l+a+z+e+r%60')]"
39.42.124.125,,
148.101.87.196,,
187.151.160.240,,
156.205.223.119,,
197.161.44.102,,
156.205.148.145,,
197.133.194.31,,
197.164.182.146,,
99.236.66.58,e97b8,[]
2.127.120.94,1eea6,[]
156.205.138.69,,
156.204.161.180,,
197.46.50.90,,
156.204.251.151,,
156.204.218.192,3561b,[]
79.181.102.200,,
173.62.67.22,,
197.48.200.85,,
177.228.71.49,,
213.243.167.145,648e5,"[(u'648e5', u'vmnleijona', u'79.137.85.74:20105', u'1497889658', u'%7Evmn%7E+leijona'), (u'648e5', u'rAtexassexranger', u'79.137.85.74:20105', u'1497136953', u'rA.texassexranger'), (u'648e5', u'rAtexassexranger', u'79.137.85.74:20105', u'1497136762', u'rA.texassexranger'), (u'648e5', u'HaTeDproplayer69', u'78.47.64.168:20102', u'1496412906', u'HaTeD+%23+proplayer69'), (u'648e5', u'hsslaurizio', u'31.204.136.28:20100', u'1495547068', u'hsslaurizio'), (u'648e5', u'1fxlatex', u'154.16.57.134:20100', u'1495038550', u'1fx.+%23+latex')]"
197.161.61.199,,
82.169.218.115,,
197.162.125.23,,
